date:2025-07-26 15:38:23	thread:background-preinit	X-Track:	level:INFO 	logger:org.hibernate.validator.internal.util.Version   	message:HV000001: Hibernate Validator ******.******.******.Final
date:2025-07-26 15:38:23	thread:main	X-Track:	level:WARN 	logger:o.s.b.t.j.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer	message:
  
  Found multiple occurrences of org.json......ONObject on the class path:
  
  	jar:file:/root/.m2/repository/com/vaadin/external/google/android-json/******.******.******.vaadin1/android-......20131108.vaadin1.jar!/org/json/JSONObject.class
  	jar:file:/root/.m2/repository/org/json/json/20220924/json-20220924.jar!/org/json/JSONObject.class
  
  You may wish to exclude one of them to ensure predictable runtime behavior
  
date:2025-07-26 15:38:24	thread:main	X-Track:	level:INFO 	logger:com.collaboportal.shoho.ShohoApplicationTests   	message:Starting ShohoApplicationTests using Java ******.******.****** with PID 38303 (started by root in /home/workspace/api/shoho)
date:2025-07-26 15:38:24	thread:main	X-Track:	level:DEBUG	logger:com.collaboportal.shoho.ShohoApplicationTests   	message:Running with Spring Boot ******.******.******, Spring ******.******.******
date:2025-07-26 15:38:24	thread:main	X-Track:	level:INFO 	logger:com.collaboportal.shoho.ShohoApplicationTests   	message:No active profile set, falling back to 1 default profile: "default"
date:2025-07-26 15:38:25	thread:main	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Multiple Spring Data modules found, entering strict repository configuration mode
date:2025-07-26 15:38:25	thread:main	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
date:2025-07-26 15:38:25	thread:main	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Finished Spring Data repository scanning in 27 ms. Found 0 JPA repository interfaces.
date:2025-07-26 15:38:25	thread:main	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Multiple Spring Data modules found, entering strict repository configuration mode
date:2025-07-26 15:38:25	thread:main	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Bootstrapping Spring Data Redis repositories in DEFAULT mode.
date:2025-07-26 15:38:25	thread:main	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
date:2025-07-26 15:38:26	thread:main	X-Track:	level:INFO 	logger:com.zaxxer.hikari.HikariDataSource              	message:syohomoto-app-api-local - Starting...
date:2025-07-26 15:38:27	thread:main	X-Track:	level:INFO 	logger:com.zaxxer.hikari.pool.HikariPool               	message:syohomoto-app-api-local - Added connection ConnectionID:1 ClientConnectionId: 89c03ee6-24f0-4f58-a922-1087d8530fc1
