date:2025-07-23 08:13:05	thread:background-preinit	X-Track:	level:INFO 	logger:org.hibernate.validator.internal.util.Version   	message:HV000001: Hibernate Validator ******.******.******.Final
date:2025-07-23 08:13:05	thread:restartedMain	X-Track:	level:INFO 	logger:com.collaboportal.shoho.ShohoApplication        	message:Starting ShohoApplication using Java ******.******.****** with PID 34409 (/home/workspace/api/shoho/target/classes started by root in /home/workspace)
date:2025-07-23 08:13:07	thread:restartedMain	X-Track:	level:DEBUG	logger:com.collaboportal.shoho.ShohoApplication        	message:Running with Spring Boot ******.******.******, Spring ******.******.******
date:2025-07-23 08:13:07	thread:restartedMain	X-Track:	level:INFO 	logger:com.collaboportal.shoho.ShohoApplication        	message:No active profile set, falling back to 1 default profile: "default"
date:2025-07-23 08:13:07	thread:restartedMain	X-Track:	level:INFO 	logger:o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor 	message:Devtools property defaults active! Set 'spring.d......operties' to 'false' to disable
date:2025-07-23 08:13:07	thread:restartedMain	X-Track:	level:INFO 	logger:o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor 	message:For additional web related logging consider setting the 'logging.......evel.web' property to 'DEBUG'
date:2025-07-23 08:13:27	thread:restartedMain	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Multiple Spring Data modules found, entering strict repository configuration mode
date:2025-07-23 08:13:27	thread:restartedMain	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
date:2025-07-23 08:13:27	thread:restartedMain	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Finished Spring Data repository scanning in 283 ms. Found 0 JPA repository interfaces.
date:2025-07-23 08:13:27	thread:restartedMain	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Multiple Spring Data modules found, entering strict repository configuration mode
date:2025-07-23 08:13:28	thread:restartedMain	X-Track:	level:INFO 	logger:o.s.d.r.config.RepositoryConfigurationDelegate  	message:Bootstrapping Spring Data Redis repositories in DEFAULT mode.
